 INFO  Accepting connections at http://localhost:4000
 HTTP  6/14/2025 3:33:31 PM ::1 HEAD /
 HTTP  6/14/2025 3:33:31 PM ::1 Returned 200 in 23 ms
 HTTP  6/14/2025 3:34:52 PM ::1 GET /
 HTTP  6/14/2025 3:34:52 PM ::1 Returned 200 in 3 ms
 HTTP  6/14/2025 3:34:52 PM ::1 GET /favicon.ico
 HTTP  6/14/2025 3:34:52 PM ::1 Returned 404 in 6 ms
 HTTP  6/14/2025 3:35:33 PM ::1 GET /videos/tutorials-Tutorial-recordings-Filesystem-chromium/video.webm
 HTTP  6/14/2025 3:35:33 PM ::1 Returned 200 in 6 ms
 HTTP  6/14/2025 3:45:01 PM ::1 GET /
 HTTP  6/14/2025 3:45:01 PM ::1 Returned 200 in 5 ms
 HTTP  6/14/2025 3:47:15 PM ::1 GET /
 HTTP  6/14/2025 3:47:15 PM ::1 Returned 304 in 15 ms
 HTTP  6/14/2025 3:48:01 PM ::1 GET /
 HTTP  6/14/2025 3:48:01 PM ::1 Returned 304 in 12 ms
 HTTP  6/14/2025 3:51:49 PM ::1 GET /
 HTTP  6/14/2025 3:51:49 PM ::1 Returned 200 in 10 ms
 HTTP  6/14/2025 3:56:42 PM ::1 GET /
 HTTP  6/14/2025 3:56:42 PM ::1 Returned 200 in 4 ms
 HTTP  6/14/2025 3:56:42 PM ::1 GET /translations.js
 HTTP  6/14/2025 3:56:42 PM ::1 Returned 200 in 2 ms
 HTTP  6/14/2025 3:56:49 PM ::1 GET /
 HTTP  6/14/2025 3:56:49 PM ::1 Returned 304 in 1 ms
 HTTP  6/14/2025 3:56:49 PM ::1 GET /translations.js
 HTTP  6/14/2025 3:56:49 PM ::1 Returned 304 in 2 ms
 HTTP  6/14/2025 3:57:03 PM ::1 GET /
 HTTP  6/14/2025 3:57:03 PM ::1 Returned 200 in 235 ms
 HTTP  6/14/2025 3:57:03 PM ::1 GET /translations.js
 HTTP  6/14/2025 3:57:03 PM ::1 Returned 200 in 39 ms
 HTTP  6/14/2025 3:57:32 PM ::1 GET /
 HTTP  6/14/2025 3:57:32 PM ::1 Returned 200 in 2 ms
 HTTP  6/14/2025 3:57:43 PM ::1 GET /
 HTTP  6/14/2025 3:57:43 PM ::1 Returned 200 in 18 ms
 HTTP  6/14/2025 3:57:44 PM ::1 GET /translations.js
 HTTP  6/14/2025 3:57:44 PM ::1 Returned 200 in 17 ms
 HTTP  6/14/2025 3:57:46 PM ::1 GET /
 HTTP  6/14/2025 3:57:46 PM ::1 Returned 304 in 2 ms
 HTTP  6/14/2025 3:57:46 PM ::1 GET /translations.js
 HTTP  6/14/2025 3:57:46 PM ::1 Returned 304 in 2 ms
 HTTP  6/14/2025 3:57:50 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  6/14/2025 3:57:50 PM ::1 Returned 404 in 2 ms
 HTTP  6/14/2025 3:58:34 PM ::1 GET /
 HTTP  6/14/2025 3:58:34 PM ::1 Returned 200 in 12 ms
 HTTP  6/14/2025 3:58:34 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  6/14/2025 3:58:34 PM ::1 GET /translations.js
 HTTP  6/14/2025 3:58:34 PM ::1 Returned 304 in 32 ms
 HTTP  6/14/2025 3:58:34 PM ::1 Returned 404 in 68 ms
 HTTP  6/14/2025 3:59:45 PM ::1 GET /
 HTTP  6/14/2025 3:59:45 PM ::1 Returned 200 in 3 ms
